"length_url","length_hostname","ip","nb_dots","nb_hyphens","nb_at","nb_qm","nb_and","nb_or","nb_eq","nb_underscore","nb_tilde","nb_percent","nb_slash","nb_star","nb_colon","nb_comma","nb_semicolumn","nb_dollar","nb_space","nb_www","nb_com","nb_dslash","http_in_path","https_token","ratio_digits_url","ratio_digits_host","punycode","port","tld_in_path","tld_in_subdomain","abnormal_subdomain","nb_subdomains","prefix_suffix","random_domain","shortening_service","path_extension","nb_redirection","nb_external_redirection","length_words_raw","char_repeat","shortest_words_raw","shortest_word_host","shortest_word_path","longest_words_raw","longest_word_host","longest_word_path","avg_words_raw","avg_word_host","avg_word_path","phish_hints","domain_in_brand","brand_in_subdomain","brand_in_path","suspecious_tld","statistical_report","nb_hyperlinks","ratio_intHyperlinks","ratio_extHyperlinks","ratio_nullHyperlinks","nb_extCSS","ratio_intRedirection","ratio_extRedirection","ratio_intErrors","ratio_extErrors","login_form","external_favicon","links_in_tags","submit_email","ratio_intMedia","ratio_extMedia","sfh","iframe","popup_window","safe_anchor","onmouseover","right_clic","empty_title","domain_in_title","domain_with_copyright","whois_registered_domain","domain_registration_length","domain_age","web_traffic","dns_record","google_index","page_rank","status"
"115","23","0","2","8","0","0","0","0","0","0","0","0","7","0","1","0","0","0","0","0","0","0","0","0","0.069565217","0","0","0","0","0","0","2","0","0","0","0","0","0","14","2","2","9","2","10","9","10","6.357142857","9","5.916666667","0","1","0","0","0","0","63","0.158730159","0.841269841","0","6","0","0.056603774","0","0.188679245","0","1","22.72727273","0","0","100","0","0","0","20","0","0","0","1","0","0","586","7448","3945616","0","0","8","safe"
"20","12","0","2","0","0","0","0","0","0","0","0","0","3","0","1","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","2","3","3","3","0","5","5","0","4","4","0","0","0","0","0","0","0","259","0.961389961","0.038610039","0","1","0","0","0","0","0","1","84.21052632","0","100","0","0","0","0","75","0","0","0","1","1","0","100","8311","260730","0","0","4","safe"
"35","27","0","1","3","0","0","0","0","0","0","0","0","3","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","4","0","3","3","0","7","7","0","5","5","0","0","0","0","0","0","0","7","0.857142857","0.142857143","0","0","0","1","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","1","0","0","290","74","0","0","1","0","unsafe"
"59","18","0","2","0","0","0","0","0","0","0","0","0","6","0","1","0","0","0","0","0","0","0","0","1","0.016949153","0","0","0","0","0","0","2","0","0","0","0","1","0","6","3","2","14","2","16","14","16","7.166666667","14","5.8","1","0","0","0","0","0","27","0.925925926","0.074074074","0","0","0","0.5","0","0","0","0","66.66666667","0","100","0","0","0","0","50","0","0","0","1","1","0","1097","2554","0","0","1","1","unsafe"
"70","23","0","2","1","0","0","0","0","0","0","0","0","8","0","1","0","0","0","0","1","0","0","0","1","0.057142857","0","0","0","0","0","0","2","1","0","0","0","0","0","8","3","2","3","2","15","15","8","6.375","9","5.5","3","0","0","0","0","0","38","0.421052632","0.578947368","0","2","0","0.227272727","0","0.181818182","0","1","42.85714286","0","0","100","0","0","0","11.11111111","0","0","0","1","1","0","318","778","0","0","1","0","unsafe"
"105","20","0","5","2","0","0","0","0","0","0","0","0","8","0","1","0","0","0","0","1","0","0","0","0","0.047619048","0","0","0","0","0","0","3","0","0","0","0","1","0","13","4","3","3","3","14","12","14","6.230769231","7.5","6","0","0","0","0","0","0","4","1","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","100","0","0","0","1","0","0","92","273","0","0","1","0","unsafe"
"92","22","1","1","2","0","0","0","0","0","0","0","0","8","0","1","0","0","0","0","0","0","0","0","1","0.304347826","0","0","0","0","0","0","1","1","0","0","0","2","0","9","3","1","8","1","32","10","32","8.222222222","9","8","2","0","0","0","0","0","22","0.545454545","0.454545455","0","1","0","0","0","0","0","1","40","0","0","0","0","0","0","60","0","0","0","1","1","0","257","2300","0","0","1","2","unsafe"
"49","42","0","4","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","3","0","0","0","0","1","0","4","1","7","7","0","13","13","0","8.75","8.75","0","0","0","0","0","0","0","23","0.782608696","0.217391304","0","1","0","0","0","0","1","1","80","0","100","0","0","0","0","100","0","0","0","1","1","0","181","4202","0","0","1","0","unsafe"
"63","25","0","3","1","0","0","0","0","0","0","0","0","5","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","3","1","0","0","0","0","0","7","0","3","5","3","10","8","10","6.571428571","6.333333333","6.75","0","0","0","0","0","0","46","0.804347826","0.195652174","0","0","0","1","0","0","0","0","0","0","100","0","0","0","0","62.5","0","0","0","1","0","0","0","12713","1116","0","0","6","safe"
"62","20","0","3","1","0","0","0","0","0","0","0","0","7","0","1","0","0","0","0","1","0","0","0","1","0.096774194","0","0","0","0","0","0","3","1","0","0","0","1","0","8","3","2","3","2","9","9","7","5.125","6","4.833333333","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","136","-1","0","0","1","3","unsafe"
